"prob_gron","prob_todd","prob_epcon","prob_u.asam","prob_u.dr"
0.87,0,0,0,0
3.89,15.17,0.12,0,0
1.72,1.41,0,0,0
0,0,0,0,0
2.28,5.13,0.66,0,0.03
62.4,75.28,55.14,6.62,5.7
3.14,18.19,0,0,0
0,0,0,0,0
4.72,23.68,0,0,0
2.18,6.89,0,0,0
6.99,27.39,0.12,0,0
13.46,37.51,4.9,0,0.01
1.59,4.97,0.01,0,0
1.25,2.13,0,0,0
1.04,2.9,0.22,0,0
20.32,34.55,14.07,0.28,0.38
0.38,0.34,0,0,0
28.93,51.58,18.5,0.09,0.14
0.62,1.29,0.01,0,0
8.19,37.8,0.01,0,0
1.18,2.95,0.18,0,0
1.19,0.46,0,0,0
13.36,40.79,0,0,0
14.24,25.57,8.89,0.16,0.16
4.33,16.07,0.15,0,0
1.32,3.96,0.04,0,0
0.99,0,0,0,0
1.33,3.2,0.04,0,0
23.99,40.72,16.35,0.26,0.25
0.12,0.31,0,0,0
1.36,0,0,0,0
2.05,6.54,0,0,0
2.74,7.71,0.37,0,0
0.99,2.38,0.01,0,0
0.78,1.67,0.03,0,0
1.46,3.88,0.23,0,0
0.35,0,0,0,0
2.67,9.47,0,0,0
0.23,0,0,0,0
5.45,12.35,2.71,0.02,0
0.62,0.38,0,0,0
1.08,0,0,0,0
5.06,19.31,0.32,0,0
1.38,3.4,0.03,0,0
0.97,0,0,0,0
0,0,0,0,0
0.85,1.63,0,0,0
0.89,1.14,0,0,0
1.07,0,0,0,0
