iter,M_lnCltot.1.,SD_lnCltot.1.,M_lnClmet.1.,SD_lnClmet.1.,M_lnkufrac.1.,SD_lnkufrac.1.,M_lnVdist.1.,SD_lnVdist.1.,M_lnVdistmet.1.,SD_lnVdistmet.1.,M_lnkgutabs.1.,SD_lnkgutabs.1.,M_lnFgluc.1.,SD_lnFgluc.1.,geomM_Cltot,geomSD_Cltot,geomM_Clmet,geomSD_Clmet,geomM_kufrac,geomSD_kufrac,geomM_Vdist,geomSD_Vdist,geomM_Vdistmet,geomSD_Vdistmet,geomM_kgutabs,geomSD_kgutabs,geomM_Fgluc,geomSD_Fgluc,Z score,Rand.indiv._Cltot,Rand.indiv._Clmet,Rand.indiv._kufrac,Rand.indiv._Vdist,Rand.indiv._Vdistmet,Rand.indiv._kgutabs,Rand.indiv._Fgluc
44400,0.553648,0.503858,3.60245,0.173414,-1.56244,0.492528,1.29502,0.522011,2.34252,0.470046,4.11477,0.291483,-2.6837,0.827077,1.739587472,1.655094323,36.68801005,1.189358398,0.209623964,1.636447936,3.651068995,1.685413611,10.40743027,1.600067795,61.23812787,1.33841088,0.068309939,2.286625157,-0.025501912,1.717377911,36.52611964,1.702969017,3.602787031,1.507280841,1.205083062,0.066884231
45100,0.460991,0.380995,4.45939,0.15885,-1.54601,0.443522,1.63426,0.507524,1.97041,0.584267,2.58618,0.0407036,-2.4767,0.568917,1.58564458,1.463740287,86.4347678,1.172162109,0.213096535,1.558185495,5.125663602,1.661173034,7.173617068,1.793675739,13.27894901,1.041543346,0.084020035,1.766353055,1.346690991,2.648712133,107.0516966,0.194275944,10.15268293,25.47761941,33.9025051,0.18076732
40650,-0.0716832,0.565491,3.09549,0.127249,-1.47989,0.357541,0.957816,0.430897,2.01482,0.0125016,2.26908,0.37332,-2.23892,0.440652,0.930825735,1.760311884,22.09806394,1.135699772,0.22766273,1.429809187,2.605998753,1.538637062,7.499377372,1.012580072,9.67049986,1.452549081,0.106573542,1.553719914,-0.240013911,0.812687269,21.43335749,2.039562221,2.349951585,0.624325614,0.842576545,0.095877628
39150,0.270535,0.397151,4.98286,0.352371,-1.4677,0.40917,1.3912,0.321714,2.55184,0.378782,3.32539,0.117601,-2.41672,0.569161,1.310665469,1.487580538,145.8910339,1.42243615,0.230454922,1.505567645,4.019670765,1.379490185,12.83069055,1.460504611,27.80984237,1.124795229,0.089213759,1.766784098,1.331691032,2.224244762,233.249641,0.213236601,6.1695361,43.68673213,94.25397883,0.190372348
49850,0.448812,0.496011,2.33221,0.0292061,-1.61346,0.446634,1.32553,0.616872,1.69457,0.0870617,3.74492,0.0273031,-2.45812,0.805811,1.566450137,1.642157621,10.3006809,1.029636781,0.199197198,1.563042121,3.764179842,1.8531224,5.444304411,1.09096399,42.30562263,1.027679245,0.08559572,2.238511195,-0.186196459,1.428259412,10.24481709,2.110773648,3.355734315,0.795757146,0.511714851,0.073670034
39500,0.926557,0.354974,3.70598,0.341159,-1.58569,0.279608,1.76543,0.382225,1.14751,0.516533,3.43572,0.196852,-2.75222,0.725729,2.525797868,1.426143574,40.68990389,1.406576869,0.204806428,1.322611247,5.844084774,1.465541795,3.150338792,1.676206157,31.05376323,1.217563828,0.063786099,2.066236838,-0.562427958,2.06867788,33.58577587,3.226649813,4.713618978,0.879098168,0.176313259,0.042409186
49550,0.939928,0.605009,3.73125,0.32777,-1.68449,0.435817,1.64286,0.564383,2.25473,0.265922,2.66656,0.290084,-2.71705,0.688991,2.559797106,1.83126869,41.73123962,1.387869726,0.185539033,1.54622581,5.169934401,1.758362538,9.532719128,1.304633293,14.39038104,1.336539753,0.066069372,1.991704889,0.838369789,4.250978822,54.92905622,0.376661442,8.298059203,8.63841843,12.49898379,0.117723013
28150,0.53216,0.401255,2.9496,0.0129137,-1.60577,0.403222,1.54157,0.386651,1.63991,0.627933,3.14455,0.0295124,-2.42782,0.75286,1.702605969,1.493698113,19.09831288,1.012997442,0.200734929,1.496639109,4.67191943,1.472042659,5.154705568,1.873733566,23.20922897,1.029952207,0.088228962,2.123063303,-0.65151398,1.310929933,18.93830412,4.260572767,3.63155695,0.64372009,0.132760851,0.054024436
47450,0.239398,0.524517,4.87176,0.141593,-1.60887,0.333017,1.02257,0.440843,2.05503,0.267715,3.29898,0.156083,-2.79851,0.439373,1.270484089,1.689642554,130.5504837,1.152107645,0.200113615,1.395171016,2.780331041,1.554016703,7.807072081,1.306974599,27.08499813,1.16892322,0.060900737,1.551733976,1.37737745,2.61654799,158.6637218,0.152132374,5.102737739,22.15951513,109.9497739,0.11154496
27400,0.578579,0.581017,2.67521,0.334445,-1.62934,0.353216,1.5689,0.655173,1.99771,0.276951,3.94262,0.119332,-2.75614,0.820779,1.783502273,1.787855756,14.51539775,1.397164744,0.19605893,1.423638616,4.801363788,1.925475596,7.37215452,1.319101733,51.55349467,1.126743935,0.063536547,2.272269246,-1.776581562,0.635308171,8.012807344,25.73550104,1.499200144,0.037925038,0.001022961,0.014782358
27150,0.275646,0.569514,2.76953,0.173819,-1.51902,0.396277,1.50175,0.386105,1.86593,0.55531,2.76094,0.290155,-2.5695,0.763333,1.317381428,1.767407882,15.95113521,1.189840185,0.21892633,1.48628096,4.489538893,1.471239143,6.461942699,1.74248107,15.81470178,1.33663465,0.076573823,2.145414985,1.063448037,2.414022747,19.18977288,0.295489541,6.768994849,12.67497525,25.18557033,0.172434984
35250,0.552305,0.383591,2.85501,0.232584,-1.41395,0.327708,1.41675,0.442139,2.11918,0.609964,3.0346,0.168776,-2.72908,0.638285,1.737252774,1.467545093,17.37461095,1.261856438,0.243180819,1.38778368,4.123696624,1.556032014,8.324308755,1.840365144,20.79265917,1.183854926,0.065279319,1.893231202,-0.102829701,1.6700615,16.96400009,1.60496838,3.940410788,1.480010754,0.866519201,0.061132316
32800,-0.0431778,0.507154,3.36412,0.14375,-1.5843,0.375942,1.05259,0.551915,2.65032,0.0540074,3.80185,0.158552,-2.07417,0.757246,0.957741089,1.660558514,28.90804702,1.154595424,0.205091307,1.456362662,2.865062027,1.736575378,14.15856866,1.055492413,44.78395823,1.171812857,0.125660683,2.132395509,-0.245919001,0.845441245,27.90397477,2.150179815,2.501432617,0.550044196,0.460061476,0.104309673
