Results of Simulation 1

Time	Ccpt_out	Ctot_out	Qu_out	Qu_tot_out
45.5	1e-015	1e-015	49981.3	75142.6
45.6	1e-015	1e-015	49981.3	75142.6
45.7	1e-015	1e-015	49981.3	75142.6
45.8	1e-015	1e-015	49981.3	75142.6
45.9	1e-015	1e-015	49981.3	75142.6
46	1e-015	1e-015	49981.3	75142.6
46.1	1e-015	1e-015	49981.3	75142.6
46.2	1e-015	1e-015	49981.3	75142.6
46.3	1e-015	1e-015	49981.3	75142.6
46.4	1e-015	1e-015	49981.3	75142.6
46.5	1e-015	1e-015	49981.3	75142.6
46.6	1e-015	1e-015	49981.3	75142.6
46.7	1e-015	1e-015	49981.3	75142.6
46.8	1e-015	1e-015	49981.3	75142.6
46.9	1e-015	1e-015	49981.3	75142.6
47	1e-015	1e-015	49981.3	75142.6
47.1	1e-015	1e-015	49981.3	75142.6
47.2	1e-015	1e-015	49981.3	75142.6
47.3	1e-015	1e-015	49981.3	75142.6
47.4	1e-015	1e-015	49981.3	75142.6
47.5	1e-015	1e-015	49981.3	75142.6
47.6	1e-015	1e-015	49981.3	75142.6
47.7	1e-015	1e-015	49981.3	75142.6
47.8	1e-015	1e-015	49981.3	75142.6
47.9	1e-015	1e-015	49981.3	75142.6
48	1e-015	1e-015	49981.3	75142.6


